Référentiel Compétences RNCP 						
Bloc N°1	Etat de completion	Définition de la compétence		Preuves	Commentaire	0/10 Validées
Compétence 1	FALSE	Formaliser les besoins utillisateurs				
Compétence 2	FALSE	Respecter les normes qualité				
Compétence 3	FALSE	Concevoir une architecture fiable				
Compétence 4	FALSE	Services d'accès aux données				
Compétence 5	FALSE	Recherche systématique d'erreurs				
Compétence 6	FALSE	Estimation de charge				
Compétence 7	FALSE	Normes de présentation (RGAA)				
Compétence 8	FALSE	Identifier les risques de sécurité				
Compétence 9	FALSE	Code propre (Clean Code)				
Compétence 10	FALSE	Sécurité BDD (contraintes, triggers)				
Bloc N°2	Etat de completion	Définition de la compétence		Preuves	Commentaire	0/13 Validées
Compétence 1	FALSE	Respect des processus d'entreprise				
Compétence 2	FALSE	Réingénierie de processus				
Compétence 3	FALSE	Circulation des documents (workflow)				
Compétence 4	FALSE	Modélisation de BDD				
Compétence 5	FALSE	Urbanisation SI (architecture en couches)				
Compétence 6	FALSE	Réutilisation de code (DRY)				
Compétence 7	FALSE	Estimation de délais				
Compétence 8	FALSE	Coordination Agile (SCRUM/KANBAN)				
Compétence 9	FALSE	Clôture de mission (PV de recette)				
Compétence 10	FALSE	Présentation client				
Compétence 11	FALSE	Intégrabilité (ITIL)				
Compétence 12	FALSE	Travail collaboratif				
Compétence 13	FALSE	Communication FR/EN				
Bloc N°3	Etat de completion	Définition de la compétence		Preuves	Commentaire	0/10 Validées
Compétence 1	FALSE	Lever des doutes techniques				
Compétence 2	FALSE	Décomposition algorithmique				
Compétence 3	FALSE	Traduction algorithme => code				
Compétence 4	FALSE	Modification d'algorithme existant				
Compétence 5	FALSE	Debugging				
Compétence 6	FALSE	Intégration d'éléments hétérogènes				
Compétence 7	FALSE	Tests unitaires				
Compétence 8	FALSE	Suivi d'activité				
Bloc N°4	Etat de completion	Définition de la compétence		Preuves	Commentaire	0/5 Validées
Compétence 1	FALSE	Rétro-documentation				
Compétence 2	FALSE	Tables de correspondance				
Compétence 3	FALSE	Production de données (agrégation)				
Compétence 4	FALSE	Import/Export (flux de données)				
Compétence 5	FALSE	Scripts d'automatisation				
